gvkey,datadate,fyear,ni,at,dltt,sic,ceoann,gender,becameceo_year,female_ceo,board_size,nationality_mix,gender_ratio,roa,ln_assets,leverage,ceo_tenure,sic1,sp1500
001056,2006-06-30,2006,26.959,638.022,3.558,3825,,MALE,2007-10-01,0,,,,0.042254028857939066,6.458372765508894,0.005576610210933164,,3,
001062,2000-11-30,2000,,175.718,0.0,6799,,,,,,,,,5.168880437299123,0.0,,6,
001062,2000-11-30,2000,5.337,175.718,0.0,6799,,,,,,,,0.03037252871077522,5.168880437299123,0.0,,6,
001062,2000-11-30,2000,,,,6799,,,,,,,,,,,,6,
001062,2001-11-30,2001,,211.907,0.0,6799,,,,,,,,,5.3561474991788405,0.0,,6,
001062,2001-11-30,2001,36.462,211.907,0.0,6799,,,,,,,,0.1720660478417419,5.3561474991788405,0.0,,6,
001062,2001-11-30,2001,,,,6799,,,,,,,,,,,,6,
001062,2002-11-30,2002,,325.393,0.0,6799,,,,,,,,,5.785033682568302,0.0,,6,
001062,2002-11-30,2002,4.478,325.393,0.0,6799,,,,,,,,0.013761820321887688,5.785033682568302,0.0,,6,
001062,2002-11-30,2002,,,,6799,,,,,,,,,,,,6,
001062,2003-11-30,2003,,505.162,0.0,6799,,,,,,,,,6.22487916991179,0.0,,6,
001062,2003-11-30,2003,10.545,505.162,0.0,6799,,,,,,,,0.02087449174720189,6.22487916991179,0.0,,6,
001062,2003-11-30,2003,,,,6799,,,,,,,,,,,,6,
001062,2004-11-30,2004,,481.362,0.0,6799,,,,,,,,,6.176619585797931,0.0,,6,
001062,2004-11-30,2004,2.872,481.362,0.0,6799,,,,,,,,0.005966403662939742,6.176619585797931,0.0,,6,
001062,2004-11-30,2004,,,,6799,,,,,,,,,,,,6,
001062,2005-11-30,2005,,545.423,0.0,6799,,,,,,,,,6.301561640406076,0.0,,6,
001062,2005-11-30,2005,12.511,545.423,0.0,6799,,,,,,,,0.022938159923582245,6.301561640406076,0.0,,6,
001062,2005-11-30,2005,,,,6799,,,,,,,,,,,,6,
001062,2006-11-30,2006,,720.523,0.0,6799,,,,,,,,,6.5799773372062695,0.0,,6,
001062,2006-11-30,2006,20.318,720.523,0.0,6799,,,,,,,,0.028198961032472245,6.5799773372062695,0.0,,6,
001062,2007-11-30,2007,,815.468,0.0,6799,,,,,,,,,6.7037621815609425,0.0,,6,
001062,2007-11-30,2007,97.295,815.468,0.0,6799,,,,,,,,0.11931185527819609,6.7037621815609425,0.0,,6,
001062,2008-11-30,2008,,355.664,0.0,6799,,,,,,,,,5.873986464948554,0.0,,6,
001062,2008-11-30,2008,154.32,355.664,0.0,6799,,,,,,,,0.3165216400478596,5.873986464948554,0.0,,6,
001062,2008-11-30,2008,,,,6799,,,,,,,,,,,,6,
001062,2009-11-30,2009,,581.896,0.0,6799,,,,,,,,,6.366291737605659,0.0,,6,
001062,2009-11-30,2009,65.193,581.896,0.0,6799,,,,,,,,0.11203548400401447,6.366291737605659,0.0,,6,
001062,2009-11-30,2009,,,,6799,,,,,,,,,,,,6,
001062,2010-11-30,2010,,671.58,0.0,6799,,,,,,,,,6.509633145129231,0.0,,6,
001062,2010-11-30,2010,95.887,671.58,0.0,6799,,,,,,,,0.14277822448554156,6.509633145129231,0.0,,6,
001062,2010-11-30,2010,,,,6799,,,,,,,,,,,,6,
001072,2001-03-31,2000,567.537,1885.098,13.722,3670,CEO,MALE,1993-01-01,0,,,,0.30106498441990814,7.54173508792063,0.007279197155797735,7.0,3,
001072,2001-03-31,2000,,,,3670,CEO,MALE,1993-01-01,0,,,,,,,7.0,3,
001072,2002-03-31,2001,-7.232,1691.599,0.0,3670,,MALE,1993-01-01,0,,,,-0.004275244901421673,7.433429514441857,0.0,8.0,3,
001072,2002-03-31,2001,,,,3670,,MALE,1993-01-01,0,,,,,,,8.0,3,
001072,2003-03-31,2002,-12.438,1700.513,0.0,3670,CEO,MALE,2001-07-01,0,,,,-0.0073142634016911375,7.438685249228379,0.0,1.0,3,
001072,2003-03-31,2002,,,,3670,CEO,MALE,2001-07-01,0,,,,,,,1.0,3,
001072,2004-03-31,2003,-107.606,1667.877,0.0,3670,CEO,MALE,2001-07-01,0,,,,-0.06451674793764768,7.419306839192497,0.0,2.0,3,
001072,2004-03-31,2003,,,,3670,CEO,MALE,2001-07-01,0,,,,,,,2.0,3,
001072,2005-03-31,2004,55.732,1689.749,0.0,3670,CEO,MALE,2001-07-01,0,,,,0.032982413364351745,7.432335276176767,0.0,3.0,3,
